"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Price to TTM earnings","Price to TTM sales","Price to book value","Action"
"ADP","Automatic Data Processing Inc","Common stocks","Large cap","Information Technology","$99,815,857,777","1.80%","0.00","0.00","0.00","Analyze"
"ISRG","Intuitive Surgical Inc","Common stocks","Large cap","Health Care","$94,632,854,000","0.00%","0.00","0.00","0.00","Analyze"
"SYK","Stryker Corp","Common stocks","Large cap","Health Care","$92,904,547,570","1.15%","0.00","0.00","0.00","Analyze"
"CB","Chubb Ltd","Common stocks","Large cap","Financials","$92,174,364,850","1.47%","0.00","0.00","0.00","Analyze"
"TJX","TJX Companies, Inc.","Common stocks","Large cap","Consumer Discretionary","$91,677,699,182","1.43%","0.00","0.00","0.00","Analyze"
"GE","General Electric","Common stocks","Large cap","Industrials","$91,510,956,725","0.38%","0.00","0.00","0.00","Analyze"
"MDLZ","Mondelez International Inc","Common stocks","Large cap","Consumer Staples","$91,455,471,481","2.18%","0.00","0.00","0.00","Analyze"
"EL","Estee Lauder Inc Class A","Common stocks","Large cap","Consumer Staples","$89,200,017,000","0.98%","0.00","0.00","0.00","Analyze"
"C","Citigroup Inc","Common stocks","Large cap","Financials","$87,468,275,338","4.45%","0.00","0.00","0.00","Analyze"
"ADI","Analog Devices Inc","Common stocks","Large cap","Information Technology","$83,514,348,405","1.84%","0.00","0.00","0.00","Analyze"
"NOC","Northrop Grumman Corp","Common stocks","Large cap","Industrials","$83,420,388,552","1.24%","0.00","0.00","0.00","Analyze"
"MMC","Marsh & McLennan Inc","Common stocks","Large cap","Financials","$82,724,465,411","1.34%","0.00","0.00","0.00","Analyze"
"MO","Altria Group Inc","Common stocks","Large cap","Consumer Staples","$82,206,957,988","7.78%","0.00","0.00","0.00","Analyze"
"AMAT","Applied Material Inc","Common stocks","Large cap","Information Technology","$81,999,732,595","1.05%","0.00","0.00","0.00","Analyze"
"PYPL","Paypal Holdings Inc","Common stocks","Large cap","Information Technology","$80,440,356,770","0.00%","0.00","0.00","0.00","Analyze"
"DUK","Duke Energy Corp","Common stocks","Large cap","Utilities","$79,963,318,244","3.78%","0.00","0.00","0.00","Analyze"
"NOW","Servicenow Inc","Common stocks","Large cap","Information Technology","$78,749,700,000","0.00%","0.00","0.00","0.00","Analyze"
"SO","Southern Co","Common stocks","Large cap","Utilities","$78,591,291,453","3.69%","0.00","0.00","0.00","Analyze"
"BKNG","Booking Holdings Inc","Common stocks","Large cap","Consumer Discretionary","$77,714,926,752","0.00%","0.00","0.00","0.00","Analyze"
"REGN","Regeneron Pharmaceuticals Inc","Common stocks","Large cap","Health Care","$77,238,466,168","0.00%","0.00","0.00","0.00","Analyze"
"PGR","Progressive Corp","Common stocks","Large cap","Financials","$76,386,701,599","0.31%","0.00","0.00","0.00","Analyze"
"EOG","EOG Resources Inc","Common stocks","Large cap","Energy","$75,555,910,870","2.24%","0.00","0.00","0.00","Analyze"
"SLB","Schlumberger Nv","Common stocks","Large cap","Energy","$75,026,050,635","1.23%","0.00","0.00","0.00","Analyze"
"VRTX","Vertex Pharmaceuticals Inc","Common stocks","Large cap","Health Care","$74,204,364,944","0.00%","0.00","0.00","0.00","Analyze"
"BDX","Becton Dickinson","Common stocks","Large cap","Health Care","$73,028,442,521","1.35%","0.00","0.00","0.00","Analyze"
"APD","Air Products And Chemicals Inc","Common stocks","Large cap","Materials","$69,091,282,029","2.02%","0.00","0.00","0.00","Analyze"
"ZTS","Zoetis Inc","Common stocks","Large cap","Health Care","$69,048,566,059","0.87%","0.00","0.00","0.00","Analyze"
"MRNA","Moderna, Inc.","Common stocks","Large cap","Health Care","$68,714,518,685","0.00%","0.00","0.00","0.00","Analyze"
"GD","General Dynamics Corp","Common stocks","Large cap","Industrials","$68,425,837,550","1.98%","0.00","0.00","0.00","Analyze"
